Code,Name,acbel,aerocool,asus,cisco,coolermaster,corsair,fsp,gamemax,gigabyte,hangkhac,jetek,jupistar,kenoo,sama,seasonic,silverstone,superflower,thermaltake,xigmatek,xtech,duoi-2trieu,2trieu-4trieu,4trieu-8trieu,tren-8trieu,duoi-400w,400w-550w,550w-650w,650w-800w,800w-1000w,tren-1000w,80-plus,80-plus-bronze,80-plus-gold,80-plus-platinum,80-plus-titanium,non-modular-day-lien-toan-bo,full-modular-day-roi-toan-bo,semi-modular-day-roi-tru-24-pin-8-pin,1-1,1-1-1,2-1-1,7-1,1-2,3-4,5-6,1-4,5-8,9-12,13-16,1-5-1-1-1,6-10-1-1-1,sfx,flex-atx,atx-1
PWJE061,Nguồn máy tính Jetek SWAT 750 750W (80 Plus Bronze / Màu đen),No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes
PWCM118,Nguồn Cooler Master MWE Bronze V2 700w (80 Plus  Bronze/Màu Đen),No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes
PWCM141,Nguồn máy tính Cooler Master MWE V2 230V 500 500W Plus Bronze  (80 Plus Bronze/Màu Đen)  ,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes
PWFP029,Nguồn FSP Power Supply DAGGER Series SDA600 Active PFC (80 Plus  Gold/Full Modular/Micro ATX/Màu Đen),No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No
PWFP039,Nguồn FSP Power Supply HYDRO PTM Series HPT750M  Active PFC (92 Plus  Platinum/Full Modular /Micro ATX/Màu Đen),No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
PWCM119,Nguồn Cooler Master MWE Bronze V2 750w (80 Plus  Bronze/Màu Đen),No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes
PWAE011,Nguồn Aero Cool Lux RGB 750W ( 80 Plus Bronze/Màu Đen/Led RGB) ,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PWCM140,Nguồn máy tính Cooler Master MWE V2 230V 400 400W Plus Bronze  (80 Plus Bronze/Màu Đen)  ,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes
PWCM127,Nguồn máy tính Cooler Master Elite V3 230V PC400 400W Box (Màu Đen),No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
HATL858,FSP Power Supply AURUM PT Series PT-1000FM - Active PFC - 80 Plus Platinum - Full Modular (HÀNG THANH LÝ),No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes
PWFP057,Nguồn FSP  HYDRO PRO Series HP2-700  PPA7004304 (80 Plus Bronze/Màu Đen),No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes
PWSE064,Nguồn SeaSonic Focus Plus  FX-1000 1000W  (80 Plus Gold/Full Modular/Màu Đen),No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PWSS003,Nguồn SilverStone Essential Series/TUF Alliance SST ET650 G 650W (80 Plus  Gold/Màu Đen),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PWFP047,Nguồn FSP HYDRO-GE Series Model HGE650 White  Active PFC (80 Plus  Gold/Full Modular/ATX/Màu Trắng ),No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No
PWCO089,Nguồn Corsair CX750F 750W RGB White (80 Plus Bronze/Màu Trắng/Led RGB/Full Modul),No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes
PWSE048,Nguồn Seasonic Prime 750GD 750W (80 Plus  Gold/Màu Đen),No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PWSS004,Nguồn SilverStone Essential Series/TUF Alliance SST ET750 G 750W (80 Plus  Gold/Màu Đen),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PWCO090,Nguồn Corsair RM750x 750W (80 Plus Gold/ Màu Đen/Full Modul),No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
PWFP014,"Nguồn FSP Power Supply HYDRO G Series Model HG850  Active PFC (80 Plus  Gold, Full Modular/Màu Đen",No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PWSE049,Nguồn Seasonic  Prime 850GD 850W  (80 Plus  Gold/Màu Đen),No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PWCO091,Nguồn Corsair RM850x 850W (80 Plus Gold/ Màu Đen/Full Modul),No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
PWCM126,Nguồn máy tính Cooler Master Elite V3 230V PC400 400W Bulk (Màu Bạc),No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
PWSF013,Nguồn Super Flower Leadex Titanium SF-1600F14HT 1600W (Màu Đen),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PWCO092,Nguồn Corsair RM750x 750W (80 Plus Gold/ Màu Trắng/Full Modul),No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
PWAS005,Nguồn  ASUS ROG STRIX 1000W GOLD - 1000W ( Màu Đen/80 Plus Gold / Full Modular),No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes
PWSF018,Nguồn Super Flower Leadex Platinum SF-1600F14HP 1600W (Màu Đen),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes
PWCO093,Nguồn Corsair RM850x 850W (80 Plus Gold/ Màu Trắng/Full Modul),No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
PWAS006,Nguồn  ASUS ROG STRIX 850W GOLD - White Edition  850W ( Màu Trắng/80 Plus Gold / Full Modular),No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PWCO058,Nguồn Corsair RM Series RM1000x 1000W  (80 Plus  Gold Modular/Màu Đen),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PWSF019,Nguồn Super Flower Leadex Platinum SF-2000F14HP 2000W (Màu Đen),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
PWCO094,Nguồn Corsair HX850 850W (80 Platinum/Màu Đen/Full Modul),No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes
PWAS007,Nguồn  ASUS TUF GAMING 550W Bronze  ( Màu Đen/80 Plus Bronze ),No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
