code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
KBFU037,Bàn phím gaming Fuhlen E Eraser Mechanical Blue Switch Black,24 tháng,1229000,899000,Categories/img/Keyboard/250_36373_keyboard_fuhlen_e_eraser_mechanical_blue_switch_black.jpg,- Bàn phím Fuhlen E Eraser.- Switch quang cơ độ bền cao.- Vỏ kim loại chăc chắn.- Led 7 màu rainbow.- Tính năng Anti-Ghosting.
KBEB039,Bàn phím gaming Eblue Eblue EKM 757BGUS-IU USB Black,24 tháng,0,999000,Categories/img/Keyboard/250_40795_keyboard_eblue_eblue_ekm_757bgus_iu_usb_black_0002_3.jpg,- No information
KBCS051,Bàn phím cơ Corsair K70 RGB MK2 Mechanical Cherry MX Silent,24 tháng,4099000,3499000,Categories/img/Keyboard/250_43019_keyboard_corsair_k70_rgb_mk_2_mechanical_cherry_mx_silent_0000_1.jpg,"- Phiên bản nâng cấp và thay thế cho Corsair K70 RGB.- Sử dụng Switch Cherry MX RGB chất lượng cao cấp nhất.- Hệ thống Led RGB 16,8 triệu màu tùy chỉnh qua Driver CUE*.- Toàn bộ bề mặt bằng nhôm xước, vật liệu chế tạo máy bay.- Hệ thống nút và cuộn Multimedia tiện lợi."
KBCS056,Bàn phím cơ Corsair K70 MK2 Low Profile Cherry Speed Switch,24 tháng,3699000,3399000,Categories/img/Keyboard/250_45203_keyboard_corsair_k70_mk2_low_profile_cherry_speed_switch_0001_1.jpg,"- Bàn phím cơ cao cấp đến từ Corsair.- Thiết kế mỏng độc đáo và bắt mắt.- Hệ thống Led RGB 16,8 triệu màu.- Loại switch Cherry công nghệ mới Low Profile.- Tín hiệu được đáp ứng nhanh và chính xác hơn."
KBLP112,Bàn phím cơ Leopold FC750R PD TKL PBT Doubleshot Red switch SWEDISH,24 tháng,0,3249000,Categories/img/Keyboard/250_45294_keyboard_leopold_fc750r_pd_tkl_pbt_doubleshot_red_switch_swedish_0002_1.jpg,"- Phiên bản đặc biệt phong cách Cờ Thụy Điển.- Thương hiệu bàn phím cơ lâu đời đến từ Hàn Quốc.- Keycap chất liệu PBT Doubleshot siêu bền .- Sử dụng 100% Switch Cherry chất lượng cao nhất được chọn lọc kĩ càng.- Không có hệ thống đèn Led, nhưng tối ưu tốt cảm giác gõ."
KBMI001,Bàn phím Microsoft Natural Ergonomic 4000 - B2M-00009 ,24 tháng,1389000,1299000,Categories/img/Keyboard/250_48851_ban_phim_microsoft_natural_ergonomic_4000_b2m_00009_1.jpg,- Bàn phím Microsoft Natural Ergonomic 4000.- Thiết kế công thái học đặc biệt.- Tích hợp nâng tay tuỳ chọn độ dốc.- Đầy đủ phím Multimedia tích hợp.
KBDA029,Bàn phím cơ Dareu EK87 Mechanical Red Switch 87 Black,24 tháng,689000,599000,Categories/img/Keyboard/250_46297_keyboard_dareu_ek87_mechanical_red_switch_87_black_1.jpg,- Bàn phím Dareu EK87 .- Phiên bản thay thế cho DK87.- Thiết kế 87 phím gọn nhẹ.- Sử dụng D Switch độc quyền DareU.- Đèn led đỏ.
KBED023,Bàn phím cơ E-Dra EK387 Pro Mechanical Gaming Outemu Red switch Black Gray USB,24 tháng,1099000,949000,Categories/img/Keyboard/250_51207_ban_phim_co_e_dra_ek387_pro_mechanical_gaming_outemu_red_switch_black_gray_usb.jpg,- Bàn phím cơ E-Dra EK387 Pro Mechanical Gaming Outemu Red switch.- Thiết kế 87 phím nhỏ gọn.- Sử dung switch Outemu cho độ bền cao.- Keycap PBT Doubleshot.
KBBJ002,Bàn phím cơ BJX KM9 Fullsize Mechanical Red Switch Led USB,24 tháng,0,799000,Categories/img/Keyboard/250_51074_ban_phim_co_bjx_km9_fullsize_mechanical_red_switch_led_usb_1.jpg,"- Thương hiệu cao cấp đến từ Mỹ.- Bàn phím cơ full 104 phím, sử dụng switch Kailh LH danh tiếng với Led Blue Gaming đa hiệu ứng ánh sáng.- Độ bền lên đến 50 triệu lần nhấn.- Tích hợp Chức năng Anti-ghosting, Gaming mode tắt phím Windows, Điều chỉnh macro ngay trên phím.- Bảo hành 25 tháng đổi mới trong suốt thời gian bảo hành."
KBAK089,Bàn phím AKKO ACG84 Dragon Ball Super Goku - Cherry Switch Brown,24 tháng,2789000,2499000,Categories/img/Keyboard/250_54625_ban_phim_akko_acg84_dragon_ball_super_goku_cherry_switch_brown_0003_4.jpg,"- Bàn phím AKKO ACG84 Dragon Ball Super Goku.- Model: 3084 (84 keys).- Kết nối: USB Type C, có thể tháo rời.- Hỗ trợ NKRO.- Keycap: PBT Dye-Subbed, OEM profile."
HHTL726,Bàn phím Asus TUF K1 RGB (Hàng Thanh Lý - KBAS024),24 tháng,1189000,789000,Categories/img/Keyboard/250_56162_53482_ban_phim_gaming_asus_tuf_k1_rgb_0001_2.jpg,"- Tactile TUF Gaming switch với tính năng NKRO 19 phím để có hiệu suất nhanh, đáng tin cậy.- Hiệu ứng ánh sáng RGB động và thanh ánh sáng gắn 2 bên .- Núm âm lượng chuyên dụng để điều chỉnh âm thanh nhanh chóng và dễ dàng.- Khung nhựa được gia cố, bền bỉ với khả năng chống tràn lên đến 300 ml cho độ ổn định và độ tin cậy hàng ngày.- Các phím được lập trình với chức năng ghi macro nhanh và bộ nhớ trong để chơi trò chơi được cá nhân hóa."
