code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
MBAS532,"Mainboard ASUS ROG X570 CROSSHAIR VIII FORMULA (AMD X570, Socket AM4, ATX, 4 khe RAM DDR4)",24 tháng,0,21699000,Categories/img/Main/250_47568_rog_crosshair_viii_formula_aura_sync_01.png,"- Socket: AM4 hỗ trợ CPU AMD thế hệ 3.- Kích thước: ATX.- Khe cắm RAM: 4 khe (Tối đa 128GB).- Khe cắm mở rộng: 2 x PCIe 4.0/3.0 x16.- Khe cắm ổ cứng: 1 x M.2, 8 x SATA 6Gb/s."
MBAS578,"Mainboard ASUS ROG STRIX B460-G GAMING (Intel B460, Socket 1200, m-ATX, 4 khe Ram DDR4)",24 tháng,3190000,2999000,Categories/img/Main/250_52862_rog_strix_b460_g_gaming_01_02.jpg,- Kích thước: M-ATX.- Socket: LGA1200.- Chipset: B460.- Khe RAM tối đa: 4.- Loại RAM hỗ trợ: DDR4.
MBAS579,"Mainboard ASUS ROG STRIX B460-H GAMING (Intel B460, Socket 1200, ATX, 4 khe Ram DDR4)",24 tháng,0,3459000,Categories/img/Main/250_52863_rog_strix_b460_h_gaming_01_01.jpg,- Kích thước: ATX.- Socket: LGA1200.- Chipset: B460.- Khe RAM tối đa: 4.- Loại RAM hỗ trợ: DDR4.
MBAS580,"Mainboard ASUS ROG STRIX B460-I GAMING (Intel B460, Socket 1200, Mini-ITX, 2 khe Ram DDR4)",24 tháng,4199000,3899000,Categories/img/Main/250_52864_rog_strix_b460_i_gaming_01.png,- Kích thước: mini-ITX.- Socket: LGA1200.- Chipset: B460.- Khe RAM tối đa: 2.- Loại RAM hỗ trợ: DDR4.
MBAS581,"Mainboard ASUS TUF GAMING B460-PRO (WIFI) (Intel B460, Socket 1200, ATX, 4 khe Ram DDR4)",24 tháng,0,3199000,Categories/img/Main/250_52865_tuf_gaming_b460_pro__wi_fi__01_01.jpg,- Kích thước: ATX.- Socket: LGA1200.- Chipset: B460.- Khe RAM tối đa: 4.- Loại RAM hỗ trợ: DDR4.
MBAS582,"Mainboard ASUS TUF GAMING B460-PLUS (Intel B460, Socket 1200, ATX, 4 khe Ram DDR4)",24 tháng,2859000,2699000,Categories/img/Main/250_52866_tuf_gaming_b460_plus_0100.jpg,- Kích thước: ATX.- Socket: LGA1200.- Chipset: B460.- Khe RAM tối đa: 4.- Loại RAM hỗ trợ: DDR4.
MBAS583,"Mainboard ASUS TUF GAMING B460M-PLUS (WIFI) (Intel B460, Socket 1200, m-ATX, 4 khe Ram DDR4)",24 tháng,3099000,2999000,Categories/img/Main/250_52867_tuf_b460m_plus_wifi_100.jpg,- Kích thước: M-ATX.- Socket: LGA1200.- Chipset: B460.- Khe RAM tối đa: 4.- Loại RAM hỗ trợ: DDR4.
MBAS596,"Mainboard ASUS TUF GAMING B550-PLUS (AMD B550, Socket AM4, ATX, 4 khe RAM DRR4)",36 tháng,4299000,4099000,Categories/img/Main/250_53324_tuf_b550_plus_gaming_1.jpg,- Kích thước: ATX.- Socket: AM4.- Chipset: B550.- Khe RAM tối đa: 4.- Loại RAM hỗ trợ: DDR4.
MBAS513,"Mainboard ASUS ROG Z390 MAXIMUS XI EXTREME (Intel Z390,Socket 1151, ATX, 4 khe RAM DDR4)",24 tháng,0,12099000,Categories/img/Main/250_44894__h__nh______i_di___n_bo_mach_chu_gaming_cao_cap_asus_rog_maximus_xi_extreme_z390_aura_sync_hop_san_pham.png,"- Socket LGA1151: Hỗ trợ các bộ xử lý máy tính Intel® Core™ thế hệ thứ 8/9..- Công nghệ đèn RGB đồng bộ hóa: Hỗ trợ nhiều thiết bị PC tương thích Aura Sync và hỗ trợ các dải đèn địa chỉ và Phillip Hue..- Làm mát hoàn hảo: Vùng làm mát bằng nước chuyên dụng, quạt tản nhiệt M.2 và điều khoản quạt linh hoạt..- ROG DIMM.2: Cạc mở rộng M.2 kép được lắp thẳng đứng với quạt tản nhiệt để làm mát và đẩm hiệu suất tối ưu..- Tối ưu hóa 5 chiều: Tự động điều chỉnh toàn hệ thống, hỗ trợ các tính năng ép xung và làm mát công nghệ AI dành riêng cho giàn máy của bạn.."
MBAS500,"Mainboard ASUS ROG STRIX Z390-F GAMING (Intel Z390, Socket 1151, ATX, 4 khe RAM DDR4)",24 tháng,5299000,4799000,Categories/img/Main/250_44069__h__nh______i_di___n__bo_mach_chu_gaming_cao_cap_asus_rog_strix_z390_f_gaming_aura_sync_san_pham.png,"- Socket LGA1151 cho các bộ xử lý máy tính bàn Intel® Core™ thế hệ thứ 8/9..- Aura Sync RGB: Đồng bộ hệ thống đèn LED với một loạt các phụ kiện PC tương thích, bao gồm các dải đèn RGB đổi màu..- Làm mát toàn diện: tản nhiệt M.2 tích hợp, đầu gắn bơm nước và đầu gắn mở rộng quạt..- Tối ưu hóa 5 chiều: Tự động điều chỉnh toàn hệ thống, hỗ trợ các tính năng ép xung và làm mát công nghệ AI cho giàn máy của bạn..- Khả năng kết nối gaming: Các đầu cắm M.2 Kép và USB 3.1 Thế hệ 2 Type-A và Type-C.."
