code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
MOLG152,Màn hình LG 24GL600F-B (23.6 inch/FHD/TN/144Hz/1ms/300nits/DP+HDMI),24 tháng,5999000,4999000,Categories/img/Monitor/250_45734_lg_24gl600f__4_.png,"- Model	24GL600F 1ms, 144Hz.- Kiểu màn hình	Màn hình gaming.- Kích thước màn hình	23.6Inch TN.- Độ sáng	300cd/m2.- Tỷ lệ tương phản	1000:1."
MOVI094,Màn hình Viewsonic VX3258-PC-MHD LED (31.5 inch/FHD/LED/VA/165Hz/1ms/250 nits/DP+HDMI/FreeSync/Cong),24 tháng,8999000,7499000,Categories/img/Monitor/250_46284_viewsonic_vx3258__4_.png,- Tần số quét 165Hz.- Công nghệ AMD FreeSync.- Thời gian phản hồi 1ms MPRT.- Độ phủ màu 88% NTSC.- Cổng HDMI kép và DisplayPort.
MOAC060,Màn hình Acer Nitro VG270 (27 inch/FHD/LED/IPS/HDMI+VGA/250 cd/m²/75Hz/1ms/2 x 4 W Speakers/AMD FreeSync),24 tháng,5377900,4689000,Categories/img/Monitor/250_43193_vg270__1_.jpg,- Size	27”.- Độ phân giải	Full HD (1920 x 1080).- Tỷ lệ khung hình	16:9.- Thời gian đáp ứng: 	1 ms.- Refresh Rate	75 Hz.
MOHP113,Màn hình HP 27X (27 inch/FHD/LED/144Hz/4ms/350cd/m²/DP+HDMI),24 tháng,7299000,5699000,Categories/img/Monitor/250_44048_hp_27x__4_.png,"- Chủng loại	 Màn hình HP 27""27X LED 144Hz.- Kích Thước Màn Hình	27''.- Độ Sáng Màn Hình	4000 cd/m².- Độ Phân Giải Màn Hình	1920*1080.- Thời Gian Đáp Ứng	1ms."
MODE148,Màn hình Dell Ultrasharp U2419H (23.8 inch/FHD/IPS/DP+HDMI/250cd/m²/60Hz/8ms),24 tháng,5499000,5259000,Categories/img/Monitor/250_44883_dell_u2419h__4_.png,- Kích Thước Màn Hình	23.8 INCH.- Độ Sáng Màn Hình	250 cd/m² .- Tỉ Lệ Tương Phản Động MEGA	1000:1  .- Độ Phân Giải Màn Hình	Full HD 1920x1080 60 Hz.- Thời Gian Đáp Ứng	5 ms.
MOVI092,Màn Hình Viewsonic VG2455 (23.8/FHD/LED/IPS/250cd/m²/DP+HDMI/60Hz/5ms),24 tháng,5490000,5059000,Categories/img/Monitor/250_46282_viewsonic_vg2455__4_.png,- Loại màn hình: màn hình phẳng.- Tỉ lệ: 16:9.- Kích thước: 23.8 inch.- Tấm nền: IPS.- Độ phân giải: Full HD (1920x1080).
MOAS134,Màn hình Asus TUF VG32VQ (31.5 inch/QHD/144Hz/1ms/400cd/m²/DP+HDMI/HDR10/Free Syc/Màn hình cong),24 tháng,12499000,11489000,Categories/img/Monitor/250_47638_vg32vq_thumb.jpg,- Kích thước	31.5 inch.- Độ phân giải	2560 x 1440.- Tấm nền  	VA.- Bề mặt hiển thị	Chống lóa 3H.- Tốc độ làm tươi	144hz.
MOAC079,Màn hình Acer ED245QA (23.6 inch/FHD/IPS/250 cd/m²/75Hz/4ms/HDMI+VGA/màu trắng),24 tháng,3947900,3389000,Categories/img/Monitor/250_49377_ed245qa___1_.jpg,- Kích thước màn hình	24 inch.- Độ phân giải	1920 x 1080.- Tần số quét	75hz.- Góc nhìn	178° (H) / 178° (V).- Màu màn hình	16.7 triệu.
MOSA202,Màn hình Samsung LU28R550UQEXXV (28 inch/4K/LED/IPS/300cd/m²/HDMI+DP/60Hz/4ms/HDR10),24 tháng,0,8545000,Categories/img/Monitor/250_50176_samsung_lu28r550uqexxv__4_.png,- Đèn nền	W-LED.- Độ phân giải	3840 x 2160.- Tần số quét	60 Hz.- Góc nhìn	178° (H) / 178° (V).- Màu màn hình	1 tỷ màu.
MOVI107,Màn hình Viewsonic VX2476-SH Gaming (23.8 inch/FHD/IPS/75Hz/4ms/250 nits/HDMI+VGA),24 tháng,3599000,3389000,Categories/img/Monitor/250_52119_viewsonic_vx2476_sh_gaming__7_.png,- Công nghệ màn hình SuperClear® IPS cho hình ảnh chân thực và góc nhìn rộng.- Thiết kế không khung viền và chân đế thời trang.- Tần số quét 75Hz cho trải nghiệm mượt mà hơn.- Cổng kết nối linh hoạt với cổng VGA và 2 cổng HDMI.- Công nghệ bảo vệ mắt.
